"block","date","time","balance"
"3,824,276","2021/11/05 12:47:36 +02:00","1636109256","20997472.3499 RBTC"
"3,824,149","2021/11/05 11:28:08 +02:00","1636104488","20997472.3299 RBTC"
"3,822,625","2021/11/04 21:24:42 +02:00","1636053882","20997472.3399 RBTC"
"3,821,058","2021/11/04 06:15:20 +02:00","1635999320","20997472.4979 RBTC"
"3,820,942","2021/11/04 05:15:30 +02:00","1635995730","20997472.5029 RBTC"
"3,819,922","2021/11/03 19:35:39 +02:00","1635960939","20997472.5079 RBTC"
"3,819,538","2021/11/03 15:55:14 +02:00","1635947714","20997472.4736 RBTC"
"3,819,527","2021/11/03 15:48:55 +02:00","1635947335","20997472.4917 RBTC"
"3,819,400","2021/11/03 14:39:02 +02:00","1635943142","20997472.4872 RBTC"
"3,819,061","2021/11/03 11:27:26 +02:00","1635931646","20997472.4962 RBTC"
"3,818,628","2021/11/03 07:30:19 +02:00","1635917419","20997471.9962 RBTC"
"3,817,610","2021/11/02 22:23:40 +02:00","1635884620","20997472.0173 RBTC"
"3,817,142","2021/11/02 18:08:54 +02:00","1635869334","20997472.0091 RBTC"
"3,817,143","2021/11/02 18:09:11 +02:00","1635869351","20997472.0091 RBTC"
"3,816,743","2021/11/02 14:21:26 +02:00","1635855686","20997471.7091 RBTC"
"3,816,602","2021/11/02 13:06:13 +02:00","1635851173","20997474.7086 RBTC"
"3,816,182","2021/11/02 08:56:48 +02:00","1635836208","20997475.0086 RBTC"
"3,815,455","2021/11/02 02:33:38 +02:00","1635813218","20997474.9485 RBTC"
"3,814,666","2021/11/01 18:48:34 +02:00","1635785314","20997474.9561 RBTC"
"3,814,620","2021/11/01 18:21:14 +02:00","1635783674","20997474.9311 RBTC"
"3,814,097","2021/11/01 13:19:51 +02:00","1635765591","20997475.1801 RBTC"
"3,813,945","2021/11/01 11:57:42 +02:00","1635760662","20997471.6803 RBTC"
"3,812,504","2021/10/31 22:54:43 +02:00","1635713683","20997471.6858 RBTC"
"3,812,411","2021/10/31 22:03:17 +02:00","1635710597","20997466.2043 RBTC"
"3,811,951","2021/10/31 17:39:26 +02:00","1635694766","20997466.3742 RBTC"
"3,811,711","2021/10/31 15:21:32 +02:00","1635686492","20997466.4530 RBTC"
"3,809,115","2021/10/30 15:24:44 +02:00","1635600284","20997466.4735 RBTC"
"3,809,068","2021/10/30 14:59:29 +02:00","1635598769","20997468.5528 RBTC"
"3,808,913","2021/10/30 13:37:23 +02:00","1635593843","20997468.5418 RBTC"
"3,807,304","2021/10/29 22:57:14 +02:00","1635541034","20997469.2261 RBTC"
"3,806,620","2021/10/29 16:33:26 +02:00","1635518006","20997469.2181 RBTC"
"3,804,535","2021/10/28 21:43:13 +02:00","1635450193","20997469.4681 RBTC"
"3,803,163","2021/10/28 08:42:18 +02:00","1635403338","20997469.4530 RBTC"
"3,802,981","2021/10/28 07:09:22 +02:00","1635397762","20997469.4640 RBTC"
"3,802,289","2021/10/28 00:45:07 +02:00","1635374707","20997469.6135 RBTC"
"3,801,926","2021/10/27 21:27:08 +02:00","1635362828","20997469.6954 RBTC"
"3,801,464","2021/10/27 17:20:36 +02:00","1635348036","20997469.8454 RBTC"
"3,800,718","2021/10/27 10:15:44 +02:00","1635322544","20997468.8454 RBTC"
"3,798,781","2021/10/26 16:21:07 +02:00","1635258067","20997465.8454 RBTC"
"3,798,197","2021/10/26 10:48:14 +02:00","1635238094","20997465.8164 RBTC"
"3,796,582","2021/10/25 19:47:01 +02:00","1635184021","20997495.8164 RBTC"
"3,796,225","2021/10/25 16:20:07 +02:00","1635171607","20997495.5868 RBTC"
"3,796,314","2021/10/25 17:10:01 +02:00","1635174601","20997495.5668 RBTC"
"3,793,155","2021/10/24 11:15:17 +02:00","1635066917","20997495.0660 RBTC"
"3,793,167","2021/10/24 11:24:25 +02:00","1635067465","20997493.5270 RBTC"
"3,793,245","2021/10/24 12:05:09 +02:00","1635069909","20997495.5268 RBTC"
"3,791,772","2021/10/23 22:33:26 +02:00","1635021206","20997499.0660 RBTC"
"3,788,690","2021/10/22 18:02:35 +02:00","1634918555","20997499.1588 RBTC"
"3,788,488","2021/10/22 16:04:01 +02:00","1634911441","20997499.1547 RBTC"
"3,788,318","2021/10/22 14:06:11 +02:00","1634904371","20997502.1542 RBTC"
"3,787,406","2021/10/22 05:25:16 +02:00","1634873116","20997503.0238 RBTC"
"3,787,236","2021/10/22 03:57:19 +02:00","1634867839","20997506.5233 RBTC"
"3,786,538","2021/10/21 21:45:12 +02:00","1634845512","20997506.7516 RBTC"
"3,785,840","2021/10/21 15:12:32 +02:00","1634821952","20997506.7991 RBTC"
"3,784,990","2021/10/21 07:27:06 +02:00","1634794026","20997507.5024 RBTC"
"3,785,037","2021/10/21 07:48:44 +02:00","1634795324","20997504.5026 RBTC"
"3,784,770","2021/10/21 05:21:48 +02:00","1634786508","20997509.5021 RBTC"
"3,783,879","2021/10/20 21:01:39 +02:00","1634756499","20997529.5021 RBTC"
"3,783,720","2021/10/20 19:38:20 +02:00","1634751500","20997529.4931 RBTC"
"3,783,427","2021/10/20 16:39:31 +02:00","1634740771","20997529.4850 RBTC"
"3,783,388","2021/10/20 16:15:24 +02:00","1634739324","20997529.1350 RBTC"
"3,783,000","2021/10/20 12:21:36 +02:00","1634725296","20997529.1463 RBTC"
"3,782,161","2021/10/20 04:38:53 +02:00","1634697533","20997529.1843 RBTC"
"3,782,020","2021/10/20 03:21:35 +02:00","1634692895","20997528.9335 RBTC"
"3,781,000","2021/10/19 17:56:56 +02:00","1634659016","20997529.3794 RBTC"
"3,781,042","2021/10/19 18:23:09 +02:00","1634660589","20997529.3794 RBTC"
"3,778,748","2021/10/18 20:37:12 +02:00","1634582232","20997529.3252 RBTC"
"3,778,766","2021/10/18 20:50:49 +02:00","1634583049","20997529.3794 RBTC"
"3,778,536","2021/10/18 18:43:48 +02:00","1634575428","20997529.3252 RBTC"
"3,777,612","2021/10/18 10:23:05 +02:00","1634545385","20997526.3252 RBTC"
"3,777,095","2021/10/18 05:51:24 +02:00","1634529084","20997521.9752 RBTC"
"3,777,177","2021/10/18 06:30:59 +02:00","1634531459","20997522.3252 RBTC"
"3,776,726","2021/10/18 02:25:58 +02:00","1634516758","20997522.2253 RBTC"
"3,776,777","2021/10/18 02:57:12 +02:00","1634518632","20997522.4852 RBTC"
"3,776,583","2021/10/18 01:12:29 +02:00","1634512349","20997519.2253 RBTC"
"3,774,708","2021/10/17 08:39:12 +02:00","1634452752","20997519.3410 RBTC"
"3,773,304","2021/10/16 20:18:17 +02:00","1634408297","20997519.5014 RBTC"
"3,773,331","2021/10/16 20:33:57 +02:00","1634409237","20997522.3014 RBTC"
"3,773,122","2021/10/16 18:42:38 +02:00","1634402558","20997520.5879 RBTC"
"3,772,556","2021/10/16 13:33:14 +02:00","1634383994","20997520.2379 RBTC"
"3,772,342","2021/10/16 11:36:11 +02:00","1634376971","20997535.2379 RBTC"
"3,771,468","2021/10/16 03:57:30 +02:00","1634349450","20997535.2532 RBTC"
"3,769,627","2021/10/15 11:27:30 +02:00","1634290050","20997535.2649 RBTC"
"3,769,374","2021/10/15 09:13:10 +02:00","1634281990","20997535.1357 RBTC"
"3,769,096","2021/10/15 06:37:43 +02:00","1634272663","20997530.5892 RBTC"
"3,769,132","2021/10/15 07:00:28 +02:00","1634274028","20997530.4357 RBTC"
"3,768,998","2021/10/15 05:44:00 +02:00","1634269440","20997525.5892 RBTC"
"3,768,887","2021/10/15 04:43:32 +02:00","1634265812","20997525.2392 RBTC"
"3,767,375","2021/10/14 15:33:10 +02:00","1634218390","20997522.2392 RBTC"
"3,766,892","2021/10/14 11:27:08 +02:00","1634203628","20997522.7458 RBTC"
"3,766,735","2021/10/14 10:03:16 +02:00","1634198596","20997522.6758 RBTC"
"3,766,555","2021/10/14 08:30:06 +02:00","1634193006","20997543.6758 RBTC"
"3,765,491","2021/10/13 23:15:35 +02:00","1634159735","20997543.6911 RBTC"
"3,765,299","2021/10/13 21:33:06 +02:00","1634153586","20997543.5684 RBTC"
"3,764,988","2021/10/13 18:57:22 +02:00","1634144242","20997540.3684 RBTC"
"3,764,195","2021/10/13 12:03:29 +02:00","1634119409","20997536.6684 RBTC"
"3,764,076","2021/10/13 11:03:33 +02:00","1634115813","20997537.2550 RBTC"
"3,763,440","2021/10/13 05:36:12 +02:00","1634096172","20997538.2550 RBTC"
"3,763,275","2021/10/13 04:11:29 +02:00","1634091089","20997538.3430 RBTC"
