Timestamp,Date,Ethereum,BSC,Tron,Avalanche,Solana,Polygon,Cronos,Waves,Fantom,Arbitrum,Parallel,Mixin,DefiChain,Klaytn,Kava,Near,Optimism,Aurora,Gnosis,Osmosis,Moonbeam,Elrond,Heco,Fusion,Celo,Bitcoin,Cardano,Acala,EOS,Moonriver,Algorand,RSK,Icon,Ronin,NEO,Astar,Hoo,KCC,Theta,Bifrost,Tezos,Harmony,Binance,Hedera,Telos,Metis,Everscale,Songbird,IoTeX,Oasis,Milkomeda,Wanchain,Karura,Ontology,OKExChain,Stellar,Terra Classic,Godwoken,Terra2,Stacks,Proton,Conflux,Secret,Boba,Kardia,DFK,Sora,Sifchain,Evmos,smartBCH,Vite,ThunderCore,Velas,VeChain,CSC,Fuse,Elastos,Energi,Litecoin,Nuls,Nahmii,Doge,Meter,Syscoin,Callisto,Kadena,Ergo,OntologyEVM,Genshiro,Wax,Bitcoincash,ORE,ICP,TomoChain,Obyte,Hydra,EnergyWeb,Lamden,XDC,Shiden,Findora,Ubiq,CosmosHub,HPB,Stafi,ZYX,EthereumClassic,Lachain,Polis,GoChain,REIchain,Crab,Polkadot,Curio,LBRY,Echelon,MultiVAC,Zilliqa,Kusama,Palm,Ravencoin,SXnetwork,Bittorrent,Ultra,zkSync,Coti
1598313600,25/08/2020,6542211588.56934,,32231109.072314423,,,,,,,,,,,,,,,,,,,,,,251082742.31942445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598400000,26/08/2020,6716644088.555525,,30558876.867816824,,,,,,,,,,,,,,,,,,,,,,294676563.55240077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598486400,27/08/2020,6926030483.968786,,38106741.14918983,,,,,,,,,,,,,,,,,,,,,,302998120.0210375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598572800,28/08/2020,7019168628.486166,,38127050.70062499,,,,,,,,,,,,,,,,,,,,,,410376353.5652393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598659200,29/08/2020,7367956029.570919,,41018122.451862246,,,,,,,,,,,,,,,,,,,,,,422797404.34897363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598745600,30/08/2020,7766384450.058062,,42666367.92506272,,,,,,,,,,,,,,,,,,,,,,430981378.7728504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598832000,31/08/2020,8269443661.436499,,54308714.46842584,,,,,,,,,,,,,,,,,,,,,,416537534.7376189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598918400,01/09/2020,8639723782.400728,,56973526.51723837,,,,,,,,,,,,,,,,,,,,,,410725682.60482657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599004800,02/09/2020,9466766033.12638,,91869015.17967042,,,,,,,,,,,,,,,,,,,,,,396941557.04535115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599091200,03/09/2020,9179947500.603313,,119337114.87482682,,,,,,,,,,,,,,,,,,,,,,402370241.1479639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
