Ethereum,BSC,Tron,Avalanche,Solana,Polygon,Cronos,Waves,Fantom,Arbitrum,Parallel,Mixin,DefiChain,Klaytn,Kava,Near,Optimism,Aurora,Gnosis,Osmosis,Moonbeam,Elrond,Heco,Fusion,Celo,Bitcoin,Cardano,Acala,EOS,Moonriver,Algorand,RSK,Icon,Ronin,NEO,Astar,Hoo,KCC,Theta,Bifrost,Tezos,Harmony,Binance,Hedera,Telos,Metis,Everscale,Songbird,IoTeX,Oasis,Milkomeda,Wanchain,Karura,Ontology,OKExChain,Stellar,Terra Classic,Godwoken,Terra2,Stacks,Proton,Conflux,Secret,Boba,Kardia,DFK,Sora,Sifchain,Evmos,smartBCH,Vite,ThunderCore,Velas,VeChain,CSC,Fuse,Elastos,Energi,Litecoin,Nuls,Nahmii,Doge,Meter,Syscoin,Callisto,Kadena,Ergo,OntologyEVM,Genshiro,Wax,Bitcoincash,ORE,ICP,TomoChain,Obyte,Hydra,EnergyWeb,Lamden,XDC,Shiden,Findora,Ubiq,CosmosHub,HPB,Stafi,ZYX,EthereumClassic,Lachain,Polis,GoChain,REIchain,Crab,Polkadot,Curio,LBRY,Echelon,MultiVAC,Zilliqa,Kusama,Palm,Ravencoin,SXnetwork,Bittorrent,Ultra,zkSync,Coti,Date
101423301695,31136861225,4617540309,423690387,1548041003,1906179836,0,0,270975598,0,0,0,0,0,373484289,0,0,0,14661768,0,0,0,2879090625,0,648658619,72518641,0,0,0,0,0,0,0,0,329226523,0,0,0,0,0,0,32031936,0,0,0,0,0,0,0,0,0,113128393,0,365850735,0,0,4261228171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15190329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215119842,0,0,0,0,0,0,0,0,2021-08-05
104172631776,31686349217,4423004516,444810425,1599948716,1989840622,0,0,246622742,0,0,0,0,0,383694036,0,0,0,14660530,0,0,0,2976719959,0,662138077,74422823,0,0,0,0,0,0,0,0,334948230,0,0,0,0,0,0,31403995,0,0,0,0,0,0,0,0,0,128101947,0,374341378,0,0,4318545087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15221921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220785316,0,0,0,0,0,0,0,0,2021-09-05
106185312378,31726641193,4255494733,451102951,1622269712,2136853361,0,0,308586637,0,0,0,0,0,389543386,0,0,0,16254072,0,0,0,3017896189,0,622155151,73888688,0,0,0,0,0,0,0,0,335488367,0,0,0,0,0,0,33377001,0,0,0,0,0,0,0,0,0,123772210,0,379090783,0,0,4328025929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15323879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223250203,0,0,0,0,0,0,0,0,2021-10-05
107568635953,30937474511,4123830964,424449264,1571029533,2211447155,0,0,275683188,0,0,0,0,0,372124381,0,0,0,16037382,0,0,0,2870551510,0,627225492,71931840,0,0,0,0,0,0,0,0,312852989,0,0,0,0,0,0,30772308,0,0,0,0,0,0,0,0,0,142450466,0,369715964,0,0,4272604309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14743247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197475367,0,0,0,0,0,0,0,0,2021-11-05
106873186689,30145693604,4041605774,443079938,1633176756,2253948186,0,0,261655131,0,0,0,0,0,390509776,0,0,0,16047161,0,0,0,2962523525,0,610414953,73898215,0,0,0,0,0,0,0,0,330372688,0,0,0,0,0,0,31804574,0,0,0,0,0,0,0,0,0,150862724,0,381192238,0,0,4291776702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14207909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180328614,0,0,0,0,0,0,0,0,2021-12-05
106494760704,30321799094,4028650956,439319270,1435048916,2457133848,0,0,261717460,0,0,0,0,0,341831243,0,0,0,15318690,0,0,0,2648613705,0,613902073,64904055,0,0,0,0,0,0,0,0,280343859,0,0,0,0,0,0,28447490,0,0,0,0,0,0,0,0,0,127715515,0,350638803,0,0,4243946708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12823117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170594782,0,0,0,0,0,0,0,0,2021-05-13
103460851533,30836567918,3643670893,395122644,1496478540,2560432610,0,0,284752847,0,0,0,0,0,352324684,0,0,0,16032389,0,0,0,2484013586,0,535750939,65673884,0,0,0,0,0,0,0,0,268574044,0,0,0,0,0,0,28894738,0,0,0,0,0,0,0,0,0,135402158,0,348283679,0,0,4303100994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13576087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183020099,0,0,0,0,0,0,0,0,2021-05-14
104287256432,29757584915,3822096410,428978247,1472262291,2802877627,0,0,268654511,0,0,0,0,0,336584785,0,0,0,15510003,0,0,0,2651927631,0,554583755,62229493,0,0,0,0,0,0,0,0,250094937,0,0,0,0,0,0,30209252,0,0,0,0,0,0,0,0,0,124859492,0,334449565,0,0,4141323746,0,0,0,0,0,47944772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13241845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168473369,0,0,0,0,0,0,0,0,2021-05-15
101647973939,28782306787,3685145110,413775034,1650794584,3087560439,0,0,251737289,0,0,0,0,0,334106287,0,0,0,15329669,0,0,0,2482878940,0,586231438,61856103,0,0,0,0,0,0,0,0,249808469,0,0,0,0,0,0,35915639,0,0,0,0,0,0,0,0,0,124972925,0,315065900,0,0,4271810237,0,0,0,0,0,48563513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12932625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168240979,0,0,0,0,0,0,0,0,2021-05-16
98985502021,27509853765,3760470797,406305794,1225124927,4534019277,0,0,249716496,0,0,0,0,0,297754235,0,0,0,14999088,0,0,0,2535266741,0,576521860,58074268,0,0,0,0,0,0,0,0,231722393,0,0,0,0,0,0,33144878,0,0,0,0,0,0,0,0,0,105303442,0,315698508,0,0,4138740852,0,0,0,0,0,49815420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12206361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155185776,0,0,0,0,0,0,0,0,2021-05-17
